     DIS0  DIS1  DIS2  DIS3
74   0.82  3.32  5.46  6.39
173  0.78  3.51  5.41  6.38
65   0.80  3.42  5.42  6.38
185  0.76  3.36  5.49  6.41
152  0.83  3.14  5.48  6.36
91   0.78  3.22  5.42  6.41
203  0.74  3.41  5.38  6.45
214  0.86  3.36  5.39  6.40
66   0.86  3.37  5.43  6.44
151  0.78  3.14  5.41  6.39
118  0.77  3.40  5.43  6.41
161  0.78  3.41  5.34  6.38
37   0.70  3.41  5.41  6.38
155  0.85  3.69  5.45  6.37
134  0.88  3.50  5.37  6.41
160  0.77  3.41  5.44  6.41
174  0.74  3.17  5.42  6.45
96   0.72  3.40  5.49  6.41
54   0.80  3.41  5.44  6.48
34   0.77  3.40  5.46  6.40
41   0.74  3.47  5.40  6.40
31   0.75  3.39  5.43  6.39
50   0.75  3.39  5.49  6.40
211  0.88  3.37  5.41  6.41
69   0.75  3.38  5.42  6.38
48   0.85  3.44  5.42  6.40
33   0.74  3.39  5.43  6.39
166  0.76  3.47  5.44  6.43
130  0.74  3.30  5.44  6.43
175  0.84  3.67  5.38  6.41
143  0.84  3.19  5.43  6.32
102  0.87  3.41  5.42  6.43
113  0.74  3.43  5.37  6.39
25   0.82  3.39  5.43  6.40
61   0.76  3.39  5.33  6.37
78   0.85  3.22  5.45  6.44
2    0.84  3.46  5.43  6.45
12   0.81  3.32  5.43  6.41
162  0.84  3.21  5.43  6.38
183  0.77  3.42  5.42  6.41
22   0.74  3.43  5.43  6.39
55   0.76  3.49  5.49  6.44
39   0.84  3.40  5.42  6.39
32   0.76  3.41  5.39  6.46
42   0.82  3.48  5.42  6.44
150  0.73  3.32  5.42  6.44
120  0.81  3.29  5.43  6.33
170  0.79  3.18  5.37  6.42
178  0.81  3.43  5.39  6.45
16   0.74  3.37  5.52  6.44
108  0.85  3.31  5.43  6.41
180  0.81  3.34  5.42  6.38
156  0.81  3.40  5.40  6.43
136  0.74  3.42  5.49  6.48
93   0.71  3.39  5.40  6.39
51   0.80  3.32  5.46  6.43
18   0.87  3.41  5.45  6.39
115  0.86  3.32  5.42  6.41
188  0.85  3.41  5.40  6.47
4    0.85  3.29  5.44  6.39
15   0.72  3.36  5.48  6.46
1    0.79  3.24  5.35  6.43
43   0.78  3.41  5.39  6.42
128  0.77  3.30  5.45  6.43
